,Growth,Inflation,Rate,Money,Credit,Exchange
2020-09-23,11.604416632751942,-2.945402519896659,-4.43177090934293,2.5497907380331633,2.0555142308153576,5.358000580551346
2020-09-24,11.77615183595004,-2.9898698149243392,-3.675330245819164,2.8530592253127174,2.3040255947929293,5.531182703636976
2020-09-25,11.941860911993416,-3.023951425678422,-4.370757946252322,2.4188994194534077,2.8836655541895597,5.468172659607988
2020-09-28,12.101594717723922,-2.943091436260093,4.8575777734426735,2.802615151053887,2.6001106941195538,5.3523250723396565
2020-09-29,12.255407387229067,-3.0823285974447274,1.0182363483301735,2.5157731654231656,2.9740017725131254,5.528640832653087
2020-09-30,12.40335758755999,-3.0507152942712157,-2.761304908716354,2.383365050490063,2.9652594192389072,5.433517835208456
2020-10-09,12.166188622043903,-2.5883787900232846,-4.849438796706965,1.563630466363028,3.5543793484857216,5.307702365412556
2020-10-12,12.145927528910232,-2.628558778534097,-3.625763661213614,1.8380912457525378,3.205811980377258,5.1482202474779095
2020-10-13,12.12778202038841,-2.4361935036882456,-1.6260119934691633,1.9082214566288678,3.0638149951195954,5.0600819620980015
2020-10-14,12.111460457969374,-2.3140685001638475,-1.7475663807318798,1.858331290639775,3.200369972413754,5.072225216192996
2020-10-15,12.09670925896467,-2.442116889970892,-3.3562473379346893,1.742042685474277,3.6686969025773855,4.903107168679736
2020-10-16,12.083307672902844,-2.4619040424934426,-4.275878300585204,1.9276353340280044,3.6664846157135997,4.8299919014341715
2020-10-19,12.071063377232555,-2.3819389098084573,-3.5642074989026487,2.090280032405529,3.841861249182376,4.769402707903517
2020-10-20,12.059808736871862,-2.241887038974825,-2.2645789820973845,2.0125240098201664,3.9467327260599427,4.923387343092336
2020-10-21,12.049397606727442,-2.3738063007067898,-2.9571820395975115,2.465445273955808,3.5319955730681243,5.134834429586429
2020-10-22,12.039702582405443,-2.2886175686710333,-3.864532045457406,3.016621050910694,2.81161300058624,5.054418164469064
2020-10-23,12.030612624174772,-2.2665683450274114,-4.494358575939505,2.6876825738594836,3.202745734764844,5.1879041622958555
2020-10-26,12.022030994428764,-2.386244324299241,-1.9031579963470395,2.731664373508487,3.4477481315639524,5.103972732361303
2020-10-27,12.013873460590188,-2.2559508176383143,1.085713929120479,3.08249186630984,3.324397758448306,5.104891501701024
2020-10-28,12.006066724475046,-2.357188503008127,0.8239912277406414,2.8926994822657166,3.7408353321831114,4.986654223992955
2020-10-29,11.998547046207687,-2.2660032632477556,0.45222531275364963,3.3538157761057272,3.5575745219024073,4.807391086718204
2020-10-30,11.991259036337073,-2.0345662594506004,2.5286081948481174,3.4892205776267557,3.586521950931269,4.758560814220299
2020-11-02,11.958263429716094,-1.768866648345928,-1.0512376812228625,3.6283506071507414,3.4430091495849147,4.743168440069912
2020-11-03,11.926267589990912,-1.5817162248537182,-3.159962266981819,3.514707594620406,4.070421122155681,5.058755736219746
2020-11-04,11.8952113288754,-1.308272328453739,-3.0879752969835472,3.48740930579076,4.325070836805556,5.19091944586039
2020-11-05,11.86503956418564,-1.175299509906134,-4.065906988128199,3.475323475422563,4.5473356073268,5.484096741626714
2020-11-06,11.83570174645242,-1.247988129335643,-1.9630689991450052,2.886762588323147,4.927448945754257,5.634139328846229
2020-11-09,11.807151356750493,-0.61724613290725,-0.7874342616746226,2.711439896057192,4.793768233501971,5.592289543542352
2020-11-10,11.779345466430481,-0.3293811903024697,-0.4619256539766146,2.929454504552006,4.2561285376946945,5.60804477495622
2020-11-11,11.752244350764993,-0.23414921274240807,0.9403813151077309,2.829826138553953,3.9051848359644,5.591507382545061
2020-11-12,11.725811149634035,-0.20334718307869837,1.6672943663637538,2.3920813456698644,3.7810721386326347,5.625249814917181
2020-11-13,11.700011569314832,-0.2580687757208723,2.7859772376725815,2.3333072710074,3.1155730332355764,5.671711123827614
2020-11-16,11.674813620238018,-0.32036393384330475,-1.4421145453591944,2.2817323375433967,2.886577809285381,5.706955324172004
2020-11-17,11.65018738625059,-0.26738230120491013,-2.52343107041459,2.267305914433119,2.784616576264017,5.710234103983607
2020-11-18,11.626104821505809,-0.17841032708844606,-3.826513212791099,1.7268912819864544,3.04239443096293,5.75264465365253
2020-11-19,11.602539571597543,-0.3095127465650288,-4.139666759687,1.1213062099869222,3.3037530260856443,5.818304855284484
2020-11-20,11.57946681598453,-0.3663773691640827,-2.824217616698129,1.0281170301623148,2.937998764048335,5.835615028294955
