,BondYield,price,ret,cum_ret
2016-11-23,2.8696,97.21044895673745,9.721044895671938e-05,1.00748223425924
2016-11-24,2.8765,97.20392898280949,-6.707071099798512e-05,1.007415163548242
2016-11-25,2.8819,97.19882700455571,-5.248736658247655e-05,1.0073626761816596
2016-11-28,2.8672,97.2127169787843,0.00014290269395877964,1.0075055788756184
2016-11-29,2.9163,97.16633808250005,-0.0004770867199851425,1.0070284921556332
2016-11-30,2.9564,97.1284932262589,-0.00038948525783710775,1.006639006897796
2016-12-01,2.9663,97.11915451948842,-9.61479629744133e-05,1.0065428589348215
2016-12-02,3.0063,97.08144064974667,-0.00038832576259895113,1.0061545331722226
2016-12-05,3.0138,97.07437255979296,-7.280577941981559e-05,1.0060817273928029
2016-12-06,3.106,96.98756619401392,-0.0008942253603089201,1.005187502032494
2016-12-07,3.0962,96.99678552652766,9.505684981614415e-05,1.0052825588823102
2016-12-08,3.0618,97.02916114409024,0.0003337803143355078,1.0056163391966457
2016-12-09,3.0859,97.00647712247748,-0.0002337856098649782,1.0053825535867809
2016-12-12,3.1121,96.98182851479119,-0.0002540923907088377,1.005128461196072
2016-12-13,3.1816,96.91650449304915,-0.0006735697062267842,1.0044548914898452
2016-12-14,3.1822,96.91594092779569,-5.814956455574283e-06,1.0044490765333896
2016-12-15,3.3031,96.80251609099824,-0.0011703424195401713,1.0032787341138494
2016-12-16,3.2946,96.81048186449244,8.228890958483781e-05,1.0033610230234342
2016-12-19,3.2962,96.80898232461601,-1.5489437172000464e-05,1.0033455335862622
2016-12-20,3.361,96.74828997397472,-0.0006269289190312666,1.002718604667231
2016-12-21,3.3106,96.79548855586938,0.0004878492623214825,1.0032064539295524
2016-12-22,3.2414,96.86036803065437,0.0006702737467720876,1.0038767276763245
2016-12-23,3.1968,96.90222952649695,0.00043218394368826907,1.0043089116200128
2016-12-26,3.1963,96.90269903087611,4.845134951469987e-06,1.0043137567549643
2016-12-27,3.152,96.94431518535752,0.0004294633162711392,1.0047432200712354
2016-12-28,3.1618,96.93510582405503,-9.49964037074702e-05,1.004648223667528
2016-12-29,3.1102,96.98361558798257,0.0005004354564339675,1.005148659123962
2016-12-30,3.0358,97.05364543197607,0.000722079122013719,1.0058707382459757
2017-01-03,3.1311,96.9639614044648,-0.000924066552184577,1.0049466716937911
2017-01-04,3.1122,96.98173446013178,0.0001832954781295637,1.0051299671719207
2017-01-05,3.2145,96.8856120021896,-0.000991139810782471,1.0041388273611382
2017-01-06,3.195,96.90391976355444,0.00018896264353918113,1.0043277900046774
2017-01-09,3.2074,96.89227710416114,-0.00012014642360913541,1.0042076435810683
2017-01-10,3.1782,96.91969815329207,0.00028300551860760415,1.004490649099676
2017-01-11,3.2177,96.88260831233404,-0.000382686302833557,1.0041079627968423
2017-01-12,3.1905,96.90814561417959,0.00026359015607035907,1.0043715529529127
2017-01-13,3.2149,96.8852365307722,-0.0002363999771349823,1.0041351529757776
