date,yield,ret,cum_ret
2016-06-14,2.96,-0.013333333333333308,0.8130751270429887
2016-06-15,2.9663,0.002128378378378315,0.8148056585633842
2016-06-16,2.9488,-0.0058996055692276395,0.8099986265622854
2016-06-17,2.9395,-0.0031538252848616333,0.80744403241313
2016-06-20,2.9425,0.0010205817315871446,0.8082680950418899
2016-06-21,2.9538,0.0038402718776551215,0.8113720642768851
2016-06-22,2.9213,-0.011002776085043076,0.8024447191319873
2016-06-23,2.92,-0.00044500735973718175,0.8020876253261914
2016-06-24,2.9025,-0.0059931506849315586,0.7972805933250926
2016-06-27,2.825,-0.02670111972437539,0.7759923087487982
2016-06-28,2.8288,0.001345132743362898,0.777036121411894
2016-06-29,2.8638,0.012372737556560987,0.7866501854140915
2016-06-30,2.8425,-0.007437670228367943,0.780799340749897
2016-07-01,2.8013,-0.014494283201407221,0.7694822139815959
2016-07-04,2.825,0.008460357691072007,0.7759923087487982
2016-07-05,2.8376,0.004460176991150533,0.7794533717895894
2016-07-06,2.8325,-0.0017972934874542768,0.7780524653206977
2016-07-07,2.8138,-0.0066019417475727815,0.772915808268095
2016-07-08,2.8075,-0.0022389651005757516,0.7711852767476994
2016-07-11,2.8113,0.0013535173642029719,0.7722290894107952
2016-07-12,2.835,0.008430263579127129,0.7787391841779975
2016-07-13,2.84,0.0017636684303350414,0.7801126218925971
2016-07-14,2.8325,-0.002640845070422504,0.7780524653206977
2016-07-15,2.835,0.0008826125330978485,0.7787391841779975
2016-07-18,2.825,-0.003527336860670083,0.7759923087487983
2016-07-19,2.8213,-0.0013097345132744298,0.7749759648399945
2016-07-20,2.8063,-0.0053166979761103406,0.7708556516961956
2016-07-21,2.775,-0.011153476107329863,0.762257931602802
2016-07-22,2.7913,0.005873873873873947,0.7667353385523968
2016-07-25,2.8075,0.0058037473578618215,0.7711852767476997
2016-07-26,2.799,-0.0030276046304541504,0.7688504326328802
2016-07-27,2.79,-0.003215434083601254,0.7663782447466009
2016-07-28,2.7875,-0.0008960573476702871,0.765691525889301
2016-07-29,2.7675,-0.007174887892376636,0.7601977750309025
2016-08-01,2.775,0.0027100271002709064,0.7622579316028019
2016-08-02,2.785,0.003603603603603789,0.7650048070320012
2016-08-03,2.7663,-0.006714542190305206,0.7598681499793986
2016-08-04,2.7663,0.0,0.7598681499793986
2016-08-05,2.755,-0.004084878718866425,0.7567641807444033
2016-08-08,2.76,0.001814882032667775,0.7581376184590028
2016-08-09,2.73,-0.010869565217391242,0.749896992171405
2016-08-10,2.6875,-0.015567765567765512,0.7382227715973081
2016-08-11,2.7,0.0046511627906977715,0.7416563658838072
2016-08-12,2.69,-0.0037037037037037646,0.7389094904546079
2016-08-15,2.6375,-0.01951672862453524,0.7244883944513116
2016-08-16,2.65,0.004739336492890933,0.7279219887378107
2016-08-17,2.695,0.016981132075471583,0.7402829281692074
2016-08-18,2.7075,0.004638218923933346,0.7437165224557066
2016-08-19,2.7195,0.004432132963988922,0.7470127729707458
2016-08-22,2.7225,0.0011031439602868787,0.7478368355995055
2016-08-23,2.7175,-0.0018365472910928382,0.7464633978849058
2016-08-24,2.7675,0.01839926402943881,0.7601977750309022
2016-08-25,2.75,-0.006323396567299078,0.7553907430298035
2016-08-26,2.7475,-0.0009090909090908594,0.7547040241725037
2016-08-29,2.745,-0.0009099181073702889,0.754017305315204
2016-08-30,2.7725,0.010018214936247771,0.761571212745502
2016-08-31,2.7925,0.007213706041478751,0.7670649636039005
2016-09-01,2.74,-0.018800358102059045,0.7526438676006043
2016-09-02,2.735,-0.0018248175182482562,0.7512704298860046
2016-09-05,2.75,0.005484460694698434,0.7553907430298036
2016-09-06,2.745,-0.0018181818181818299,0.754017305315204
2016-09-07,2.7658,0.007577413479052719,0.7597308062079384
2016-09-08,2.7815,0.005676476968689004,0.7640434006317813
