,close
2017/11/9,3.8863
2017/11/10,3.9
2017/11/13,3.95
2017/11/14,3.9525
2017/11/15,3.95
2017/11/16,3.9225
2017/11/17,3.92
2017/11/20,3.94
2017/11/21,3.95
2017/11/22,3.985
2017/11/23,3.9851
2017/11/24,3.9463
2017/11/27,3.9501
2017/11/28,3.9601
2017/11/29,3.9101
2017/11/30,3.8901
2017/12/1,3.8852
2017/12/4,3.8902
2017/12/5,3.8752
2017/12/6,3.8752
2017/12/7,3.8927
2017/12/8,3.9102
2017/12/11,3.9303
2017/12/12,3.9378
2017/12/13,3.9303
2017/12/14,3.9104
2017/12/15,3.8904
2017/12/18,3.8904
2017/12/19,3.9005
2017/12/20,3.9005
2017/12/21,3.9005
2017/12/22,3.878
2017/12/25,3.8731
2017/12/26,3.8881
2017/12/27,3.8956
2017/12/28,3.8857
2017/12/29,3.8807
2017/12/30,3.8807
2017/12/31,3.8807
2018/1/2,3.9008
2018/1/3,3.9162
2018/1/4,3.9319
2018/1/5,3.9212
2018/1/8,3.911
2018/1/9,3.8909
2018/1/10,3.9201
2018/1/11,3.9546
2018/1/12,3.9337
2018/1/15,3.965
2018/1/16,3.9596
2018/1/17,3.9597
2018/1/18,3.9797
2018/1/19,3.9754
2018/1/22,3.9522
2018/1/23,3.9414
2018/1/24,3.9507
2018/1/25,3.9435
2018/1/26,3.9365
2018/1/29,3.9368
2018/1/30,3.9292
2018/1/31,3.914
2018/2/1,3.9066
2018/2/2,3.9092
2018/2/5,3.9167
2018/2/6,3.8825
2018/2/7,3.87
2018/2/8,3.8801
2018/2/9,3.88
2018/2/11,3.8775
2018/2/12,3.875
2018/2/13,3.87
2018/2/14,3.8702
2018/2/22,3.8752
2018/2/23,3.8702
2018/2/24,3.8652
2018/2/26,3.8452
2018/2/27,3.8201
2018/2/28,3.8202
2018/3/1,3.8201
2018/3/2,3.8352
2018/3/5,3.8453
2018/3/6,3.8253
2018/3/7,3.8203
2018/3/8,3.8203
2018/3/9,3.8278
2018/3/12,3.8243
2018/3/13,3.8362
2018/3/14,3.8413
2018/3/15,3.8257
2018/3/16,3.8154
2018/3/19,3.8104
2018/3/20,3.7906
2018/3/21,3.763
2018/3/22,3.748
2018/3/23,3.7005
2018/3/26,3.7307
2018/3/27,3.7432
2018/3/28,3.7406
2018/3/29,3.7456
2018/3/30,3.7407
2018/4/2,3.7357
2018/4/3,3.7507
2018/4/4,3.7234
2018/4/8,3.7008
2018/4/9,3.6959
2018/4/10,3.7159
2018/4/11,3.7109
2018/4/12,3.7109
2018/4/13,3.7062
2018/4/16,3.6561
2018/4/17,3.6512
2018/4/18,3.5013
2018/4/19,3.5064
2018/4/20,3.5215
2018/4/23,3.6019
2018/4/24,3.5855
2018/4/25,3.6118
2018/4/26,3.6344
2018/4/27,3.6364
2018/4/28,3.6217
2018/5/2,3.6665
2018/5/3,3.6467
2018/5/4,3.6319
2018/5/7,3.6518
2018/5/8,3.6922
2018/5/9,3.7074
2018/5/10,3.6924
2018/5/11,3.6882
2018/5/14,3.6937
2018/5/15,3.7151
2018/5/16,3.7076
2018/5/17,3.712
2018/5/18,3.7099
2018/5/21,3.6939
2018/5/22,3.67
2018/5/23,3.64
2018/5/24,3.6501
2018/5/25,3.6126
2018/5/28,3.6101
2018/5/29,3.6001
2018/5/30,3.5976
2018/5/31,3.6129
2018/6/1,3.6202
2018/6/4,3.6532
2018/6/5,3.6602
2018/6/6,3.6602
2018/6/7,3.6702
2018/6/8,3.6453
2018/6/11,3.6502
2018/6/12,3.6853
2018/6/13,3.6627
2018/6/14,3.6227
2018/6/15,3.6028
2018/6/19,3.5603
2018/6/20,3.6054
2018/6/21,3.5753
