,Growth,Inflation,Rate,Credit,ExRate
2020-12-17,10.849460191586724,4.33745194164426,2.4778747096679155,-1.3543822720194054,-7.078028405710501
2020-12-18,10.862562561537958,6.24687972722851,2.5019051866499886,-1.4093004491889494,-6.805849955428744
2020-12-21,10.446010070281586,7.7133789141588585,2.7428556221503086,-1.30638301036482,-6.592386333503986
2020-12-22,9.794708459556222,8.472863568719896,2.9541012543552903,-1.2436486885316789,-6.7728824870291415
2020-12-23,9.947614587748577,6.445098545072403,2.9717449080282954,-1.2505320494168526,-6.591707414221859
2020-12-24,10.206660247436016,6.396324858841545,2.6683200175601662,-1.4523517283648646,-6.885516521421287
2020-12-25,10.4246361569301,5.4777271901279345,2.6910538534941963,-1.4309729858854814,-7.066800683000385
2020-12-28,10.206656341214071,5.680028768486201,2.711426030502828,-1.440386741528521,-7.218233489026926
2020-12-29,10.209866380535292,5.34299833625238,2.692428023398552,-1.4760071565864896,-6.815015605935759
2020-12-30,10.852377872754316,5.448775109591475,2.7080950568571183,-1.4447151687062454,-6.627352490658955
2020-12-31,10.522967087152812,6.196861694588423,2.694221246451356,-1.4381372024038441,-6.855445450246167
2021-01-04,10.678889000593749,6.185488877494794,2.495128788427614,-1.6162449568642323,-6.506106529942679
2021-01-05,11.484017582246953,8.82250219392658,2.646146897996804,-1.5618089361059129,-7.440132010509171
2021-01-06,11.790423520486293,8.419124760275153,2.811600654935731,-1.4792293122793565,-7.4689368161561465
2021-01-07,12.246264775786697,7.891960671963022,2.909853281073449,-1.3550689365640356,-7.558944163116266
2021-01-08,13.056280271778164,9.11647412750402,2.7337723023244997,-1.4317968133139791,-7.457369259965185
2021-01-11,12.313433416269337,7.899765338330278,2.6852224134667146,-1.499127128323885,-7.330694202592158
2021-01-12,13.151137548205982,7.420010709724983,2.706498765252263,-1.4653237598602598,-6.894659054620589
2021-01-13,12.26286850032351,7.576670611691089,2.828842190747416,-1.3030451640011875,-7.299177899728138
2021-01-14,12.428385932216724,7.93641986183572,2.7489316561534416,-1.3503532755066994,-6.870864365789786
2021-01-15,12.536635657771411,9.111436353077368,2.4823704365362964,-1.5058577641433923,-6.918573681134377
2021-01-18,12.161101328532064,8.941960040670411,2.4471363358519405,-1.56336256908029,-6.143980882185107
2021-01-19,12.848273411573407,8.704480779282953,2.459943842202428,-1.469123559838209,-5.92719529473269
2021-01-20,13.353725181321419,8.071808756321685,2.540295366034595,-1.3672176704099481,-5.944447929982699
2021-01-21,13.348176166028958,7.8641903419788886,2.6249230974677573,-1.2713888657033323,-6.263744789975578
2021-01-22,13.124682662068409,7.012180610585816,2.512834743002479,-1.362411606911007,-6.074751035259096
2021-01-25,14.213535141671285,7.524276963203835,2.2432067614490236,-1.5173086475141428,-5.678122420681975
2021-01-26,13.325702639657743,8.971261877226228,2.0500479043358055,-1.5978246709570765,-5.994314811912793
2021-01-27,14.18433222897587,10.162164579518663,1.8034505915546895,-1.6900811913067137,-6.308768955673183
2021-01-28,15.858731068564008,17.17658075659155,0.5871828911242716,-1.8284208175953776,-6.570889774226618
2021-01-29,15.115528740381157,16.12320094717854,0.7500862314187451,-1.757150663014967,-7.543280951442299
2021-02-01,15.689620386656417,14.813185284707137,0.8425197321188627,-1.6245454058584352,-7.73930838107868
2021-02-02,15.245913662723309,14.220500038392075,0.7736127521813074,-1.6312734552721309,-7.796347238727419
2021-02-03,16.17071131412906,14.311667565190644,0.4314849579451163,-1.805702550914673,-7.589349970619619
2021-02-04,16.663590990632578,15.649081678686327,0.21069935220090485,-1.9128252947347602,-7.824437431139186
2021-02-05,16.59615065569061,14.259669887588922,0.3714730736129823,-1.781891489483961,-7.710698079463096
2021-02-08,16.42299705846678,14.521160773840291,0.38764604828740445,-1.6785880405256415,-7.503742129576452
2021-02-09,17.035086561181977,15.376802667626698,0.4348644073836283,-1.5853416181149826,-7.824236608883717
2021-02-10,18.302421880657615,15.491011418874672,0.5297293523938151,-1.5024709086818078,-8.127599414389897
2021-02-18,19.31513828308814,16.305767414560503,0.5286469238247271,-1.5219453140223826,-7.833916633004834
2021-02-19,20.94654554764678,16.140700939212472,0.5890669989857322,-1.3891883997479704,-7.742057442571237
2021-02-22,21.802913595667416,16.599200899341803,0.5880698020961361,-1.3670372759759852,-8.10251646450315
2021-02-23,22.71401607738634,15.530314257100786,0.7094038868488362,-1.3519133829499153,-8.195334660333554
2021-02-24,22.447112322709216,15.569764885346077,0.5442207770839147,-1.372641132606317,-8.304416905200274
2021-02-25,24.345242637975023,17.775279804672202,0.3351761476677595,-1.4259438862660678,-8.499711617427351
2021-02-26,22.734531322746566,18.420761904825333,0.3173825148850895,-1.433574799219478,-8.184193894321812
2021-03-01,22.94284911166713,17.9958219194646,0.42738383738027963,-1.426903441606786,-7.969814925737739
2021-03-02,22.638893236998587,19.12060823349942,0.31694026240822737,-1.476504184791061,-8.296063059155024
2021-03-03,25.002251173465257,23.80822009640754,0.11932146363369256,-1.57849686000206,-8.176518668300137
2021-03-04,22.98938873427557,23.23648900010803,0.09143646494340629,-1.6105735283877987,-7.513434540377983
2021-03-05,22.17753096529997,22.240654803818966,0.22406535825396645,-1.573410240334,-6.864768680972344
2021-03-08,22.368415541588483,22.805181513142198,0.044406097293325786,-1.7121110034145293,-7.029973124620881
2021-03-09,22.4710805891589,21.668262825725105,0.018089743573579398,-1.7772491979812288,-6.035629766123907
2021-03-10,22.8222186027635,23.47738134329278,-0.24815377036677688,-1.9279551161171415,-6.296196338412519
2021-03-11,25.78653557564772,31.692856427885296,-1.031945944681567,-2.117777959502037,-6.394191408183625
2021-03-12,24.844513872556583,30.292473458229384,-0.6485989501149092,-1.9856031830226828,-6.772854672145123
2021-03-15,25.094098092152688,30.090288780310313,-0.689002687767637,-2.0437204043258883,-6.839586205555026
2021-03-16,25.865456531866858,31.740561522465327,-0.5784225784713826,-2.0349423179563955,-6.852015011560342
2021-03-17,27.46422079647843,31.151044545521838,-0.21902551873225207,-2.005640136041742,-7.491780846710894
2021-03-18,30.1143750697448,32.28908823529121,-0.2599462712671752,-2.0530446383365817,-7.653666891363131
2021-03-19,30.075591343812963,33.83964381577352,0.05697167407276993,-2.069484237652924,-7.394337158953834
2021-03-22,32.346462287800364,37.51547098196916,0.19039051605771462,-2.025757318773569,-7.584858995404331
2021-03-23,34.63429028189991,32.93103006935478,0.3288422112065703,-2.0809584881814223,-8.098375514292622
2021-03-24,32.54693319878572,36.84038094135626,0.26043770573656033,-2.070725063361023,-8.552317873860837
2021-03-25,34.04334168557689,38.55984571816634,0.05234498260104914,-2.1548635996228196,-8.311810190403346
2021-03-26,33.2563764544055,39.48192759252884,-0.04683992097929135,-2.190706018444444,-8.251057379987392
2021-03-29,32.46762962711468,39.6546719900425,-0.10045740480197907,-2.239274142198483,-7.827257906535401
2021-03-30,32.81878244377182,40.22666226453343,-0.31791119683077795,-2.4195020113061294,-7.413191160866517
2021-03-31,32.15255131383229,41.53660120114921,-0.18335385184604647,-2.331360130483934,-6.927993734619231
2021-04-01,33.36459280852688,45.45111585299364,-0.23969083705912553,-2.411841632750511,-7.152889028353204
2021-04-02,33.323058604995246,46.710910241710565,-0.39866468097962127,-2.5134323467040973,-7.625671202279172
2021-04-06,34.49324230966973,46.013395840527416,-0.5904317814654725,-2.695401717730972,-7.698704082413355
2021-04-07,34.22244809973885,40.815132003764546,-0.5281510449464122,-2.6525616714880074,-8.233187181249235
2021-04-08,34.315680498136416,36.36236249418856,-0.4626152102314762,-2.6909883874968066,-8.265849648006341
2021-04-09,33.265341202517526,37.38881064863149,-1.067045190711191,-3.079616121672019,-8.116048915259011
2021-04-12,32.80252996340137,34.971672802824635,-1.248583148288951,-3.366682753943673,-7.213127214011017
2021-04-13,32.35420057060042,36.07766254930739,-0.9062996387995348,-3.1994676148354326,-7.47756119410512
2021-04-14,33.30478359070922,36.93716546077357,-0.7168952589004185,-3.094760205490976,-7.359859066954599
2021-04-15,34.59871839829102,35.84706787739806,-0.6777918008536332,-3.1664345468691124,-7.3825705396635355
2021-04-16,35.02595029369708,37.48720155035847,-0.6670218305538711,-3.2265980779151326,-7.547023463814462
2021-04-19,35.97981970120409,38.81880673561383,-0.6510202771582208,-3.3104126962664626,-7.625619599254341
2021-04-20,36.13525049499079,39.099500314417334,-0.6723256021003543,-3.312081502318076,-8.267294199912811
2021-04-21,35.296164825839746,38.406810221575874,-0.5397855329102086,-3.2725419897069177,-8.360542547928972
2021-04-22,35.58270222971506,41.310149267821885,-0.36320296371670224,-3.289902072216011,-8.495874431792405
2021-04-23,37.227058919433055,48.41287539002753,-0.47460154114036257,-3.3899436496155397,-8.58094352469636
2021-04-26,37.39816928177572,48.18148906995054,-0.8180522027058323,-3.7458633211339967,-8.826483394252138
