,000852.SH,000905.SH,000300.SH,NH0100.NHF,Bond
2011-07-19,5176.185,4843.705,3095.125,1559.5866,4.0088
2011-07-20,5184.115,4849.057,3091.567,1557.7135,4.0715
2011-07-21,5111.413,4784.388,3059.139,1557.2657,4.0889
2011-07-22,5143.206,4800.938,3067.985,1561.2182,4.0671
2011-07-25,4920.456,4613.73,2968.289,1553.1903,4.0663
2011-07-26,4951.521,4633.372,2977.766,1568.3324,4.0753
2011-07-27,5037.957,4710.379,3000.052,1574.4973,4.0855
2011-07-28,5013.657,4680.898,2981.002,1566.7111,4.0627
2011-07-29,4963.417,4628.32,2972.079,1559.1813,4.0477
2011-08-01,4995.385,4644.462,2977.721,1575.4327,4.0502
2011-08-02,4971.388,4610.783,2956.383,1565.3031,4.0615
2011-08-03,4995.003,4625.173,2954.87,1566.1112,4.1201
2011-08-04,5016.52,4649.425,2960.309,1556.3142,4.0911
2011-08-05,4896.379,4559.018,2897.417,1513.3847,4.0423
2011-08-08,4627.101,4330.771,2793.897,1505.2638,4.0007
2011-08-09,4619.644,4317.107,2798.19,1484.8086,3.9554
2011-08-10,4693.61,4378.698,2824.12,1500.0861,3.9639
2011-08-11,4780.688,4454.394,2866.924,1511.7462,3.9291
2011-08-12,4838.915,4505.886,2875.365,1512.0249,3.9268
2011-08-15,4918.885,4571.719,2917.883,1521.2368,3.9231
2011-08-16,4888.682,4533.321,2897.581,1506.6389,3.9492
2011-08-17,4881.837,4513.485,2886.013,1518.7145,3.9432
2011-08-18,4789.206,4436.101,2834.254,1513.7302,3.956
2011-08-19,4742.324,4395.019,2807.664,1507.6743,3.9331
2011-08-22,4715.704,4363.959,2777.787,1503.4873,3.9325
2011-08-23,4799.179,4434.922,2821.003,1515.4005,3.9356
2011-08-24,4797.8,4427.978,2810.016,1513.6209,3.9501
2011-08-25,4879.624,4520.171,2903.837,1509.8898,3.975
2011-08-26,4905.074,4530.423,2901.216,1510.6629,3.9886
2011-08-29,4876.72,4490.158,2852.809,1519.5683,4.0994
2011-08-30,4824.919,4451.726,2841.74,1529.3247,4.1303
2011-08-31,4798.727,4430.538,2846.776,1534.658,4.105
2011-09-01,4771.877,4395.069,2834.535,1528.0456,4.0708
2011-09-02,4716.878,4344.977,2803.854,1525.4943,4.07
2011-09-05,4596.131,4238.069,2743.817,1513.414,4.0501
2011-09-06,4568.585,4204.908,2723.303,1511.3442,4.0107
2011-09-07,4684.104,4306.361,2779.09,1526.4235,4.05
2011-09-08,4635.026,4260.155,2756.105,1523.5278,4.065
2011-09-09,4609.577,4233.748,2751.095,1526.5364,4.0452
2011-09-13,4532.082,4164.288,2720.283,1512.6333,4.0208
