,Growth,Inflation,Rate,Credit,Exchange
2014/6/26,37.58329176,-0.98321988,-3.629030472,4.407203988,8.334099802
2014/6/27,37.48288175,-1.172015038,-3.18806571,4.133185624,8.391961048
2014/6/30,37.38917602,-1.198742933,-2.713816141,4.306642826,8.517110658
2014/7/1,37.3239657,-1.361228325,-1.404748106,3.801559971,8.470286776
2014/7/2,37.26781452,-1.741799753,-1.154807833,4.131615139,8.580098832
2014/7/3,37.21307192,-2.121517416,-1.4323071,4.386588371,8.419405344
2014/7/4,37.15972262,-2.186668874,-0.950511896,4.046850228,8.56064515
2014/7/7,37.10775155,-2.6954865,-0.63842662,3.964349597,8.780496858
2014/7/8,37.05714383,-2.94187021,-0.132370459,3.649515309,8.733204978
2014/7/9,37.00788475,-3.168546965,0.434056779,3.232967384,8.866968681
2014/7/10,36.95995979,-3.234565756,0.360351369,3.239360655,8.48336577
2014/7/11,36.91335456,-3.422385491,-0.147690185,3.228374346,8.320163816
2014/7/14,36.86805484,-3.535389996,0.00641514,3.439667949,8.392724545
2014/7/15,36.82404655,-3.762254108,-0.205683862,3.974311982,8.377181974
2014/7/16,36.78131573,-3.915153989,-0.018270364,4.096507023,8.164510177
2014/7/17,36.73984854,-3.608663984,0.378434136,4.123958915,8.221335572
2014/7/18,36.69963126,-3.806845858,0.121150807,3.851709633,8.254486405
2014/7/21,36.66065028,-3.74884876,0.062307881,3.686547177,8.210827127
2014/7/22,36.62289205,-3.915540622,0.081051529,3.94925614,8.035626296
2014/7/23,36.58634313,-3.948891342,0.519393479,3.946028554,7.967671581
2014/7/24,36.55099015,-3.990026168,0.162755339,3.834127439,8.028688662
2014/7/25,36.51681977,-3.955584909,-0.107803293,3.821237986,7.830286599
